species,mean,sd,method,reference
Acanthoica acanthifera,1.9,,AMT morphometrics,sheward2024
Acanthoica quattrospina,4.9,2.5,AMT morphometrics,sheward2024
Algirosphaera robusta,16.8,1.5,AMT morphometrics,sheward2024
Alisphaera capulata,2.1,,AMT morphometrics,sheward2024
Calcidiscus leptoporus,239.2,82.8,AMT morphometrics,sheward2024
Calciosolenia murrayi,2.9,2,AMT morphometrics,sheward2024
Calytrolithina multipora,53.2,4.9,AMT morphometrics,sheward2024
Corisphaera gracilis,1.6,0.1,AMT morphometrics,sheward2024
Corisphaera tyrrheniensis,1,0.9,AMT morphometrics,sheward2024
Corisphaera tyrrheniensis HOL,3.2,0.3,AMT morphometrics,sheward2024
Discosphaera tubifera,24.4,20.9,AMT morphometrics,sheward2024
Emiliania huxleyi,4.5,4.9,AMT morphometrics,sheward2024
Florisphaera profunda,37.5,4.4,AMT morphometrics,sheward2024
Gephyrocapsa ericsonii,1.2,0.9,AMT morphometrics,sheward2024
Gephyrocapsa muellerae,8.4,3.1,AMT morphometrics,sheward2024
Gephyrocapsa ornata,4.6,1.5,AMT morphometrics,sheward2024
Gephyrocapsa parvula,1.1,0.5,AMT morphometrics,sheward2024
Helicosphaera carteri,196.5,,AMT morphometrics,sheward2024
Helicosphaera hyalina,102,65.8,AMT morphometrics,sheward2024
Helicosphaera pavimentum,67.6,52.4,AMT morphometrics,sheward2024
Helicosphaera wallichii,202,89.4,AMT morphometrics,sheward2024
Helladosphaera cornifera,2.9,1.5,AMT morphometrics,sheward2024
Helladosphaera cornifera HOL,2.3,0.3,AMT morphometrics,sheward2024
Homozygosphaera spinosa,3.3,3.8,AMT morphometrics,sheward2024
Michaelsarsia elegans,17.8,2.8,AMT morphometrics,sheward2024
Oolithotus antillarum,26.5,15.5,AMT morphometrics,sheward2024
Oolithotus fragilis,146.9,28.6,AMT morphometrics,sheward2024
Rhabdosphaera clavigera,18.8,5.6,AMT morphometrics,sheward2024
Rhabdosphaera stylifera,23.7,16.6,AMT morphometrics,sheward2024
Syracosphaera HOL,0.2,0,AMT morphometrics,sheward2024
Syracosphaera anthos,5.2,2.4,AMT morphometrics,sheward2024
Syracosphaera anthos HOL,11.3,,AMT morphometrics,sheward2024
Syracosphaera aurisinae HOL,9.4,2.5,AMT morphometrics,sheward2024
Syracosphaera bannockii,3.4,3.4,AMT morphometrics,sheward2024
Syracosphaera bannockii HOL,1.6,0.8,AMT morphometrics,sheward2024
Syracosphaera castellata,0.5,,AMT morphometrics,sheward2024
Syracosphaera halldalli,3.8,5.3,AMT morphometrics,sheward2024
Syracosphaera hastata,1.2,0,AMT morphometrics,sheward2024
Syracosphaera histrica,10.9,,AMT morphometrics,sheward2024
Syracosphaera histrica HOL,4,,AMT morphometrics,sheward2024
Syracosphaera leptolepis,1.9,0.9,AMT morphometrics,sheward2024
Syracosphaera mediterranea,35.9,,AMT morphometrics,sheward2024
Syracosphaera mediterranea HOL wettsteinii type,5.5,,AMT morphometrics,sheward2024
Syracosphaera molischii,2.5,1.3,AMT morphometrics,sheward2024
Syracosphaera nodosa,4.2,3.7,AMT morphometrics,sheward2024
Syracosphaera noroitica,1,0.5,AMT morphometrics,sheward2024
Syracosphaera orbiculus,0.5,,AMT morphometrics,sheward2024
Syracosphaera ossa,3.4,1.1,AMT morphometrics,sheward2024
Syracosphaera ossa type,5.8,0.9,AMT morphometrics,sheward2024
Syracosphaera prolongata,4.7,4.8,AMT morphometrics,sheward2024
Syracosphaera pulchra,60.4,36.9,AMT morphometrics,sheward2024
Syracosphaera pulchra HOL,18.4,8,AMT morphometrics,sheward2024
Syracosphaera reniformis,1,0.6,AMT morphometrics,sheward2024
Syracosphaera strigilis HOL,2.1,,AMT morphometrics,sheward2024
Tetralithoides quadrilaminata,52.9,,AMT morphometrics,sheward2024
Umbellosphaera irregularis,12,9.1,AMT morphometrics,sheward2024
Umbellosphaera tenuis,7,3.5,AMT morphometrics,sheward2024
Umbilicosphaera hulburtiana,38.1,13.9,AMT morphometrics,sheward2024
Umbilicosphaera sibogae,173.4,107.6,AMT morphometrics,sheward2024
undefined,0.9,0.8,AMT morphometrics,sheward2024
undefined Acanthoica,4.5,2.7,AMT morphometrics,sheward2024
undefined Alisphaera,1.9,0.4,AMT morphometrics,sheward2024
undefined Calciosolenia,2.2,,AMT morphometrics,sheward2024
undefined Corisphaera,2.7,1.1,AMT morphometrics,sheward2024
undefined Florisphaera,12.1,11,AMT morphometrics,sheward2024
undefined Gephyrocapsa,5.4,,AMT morphometrics,sheward2024
undefined Ophiaster,4.3,0.2,AMT morphometrics,sheward2024
undefined Polycrater,1.2,0.9,AMT morphometrics,sheward2024
undefined Syracosphaera,2.7,4.9,AMT morphometrics,sheward2024
undefined Syracosphaera nodosa type,2.6,2,AMT morphometrics,sheward2024
